x	y	erry
0	15.8	0.1
0.167	15.6	0.1
0.499	15.1	0.1
0.832	14.8	0.1
1.165	14.3	0.1
1.498	13.8	0.1
1.831	13.4	0.1
2.164	13.2	0.1
2.497	12.8	0.1
2.83	12.5	0.1
3.163	12	0.1
3.496	11.6	0.1
3.829	11.2	0.1
4.162	10.9	0.1
4.495	10.4	0.1
4.827	10.2	0.1
5.16	9.63E+00	0.1
5.493	9.33E+00	0.1
5.826	9.08E+00	0.1
6.159	8.71E+00	0.1
6.492	8.53E+00	0.1
6.825	8.10E+00	0.1
7.158	7.67E+00	0.1
7.491	7.49E+00	0.1
7.824	7.24E+00	0.1
8.157	6.87E+00	0.1
8.49	6.44E+00	0.1
8.823	6.07E+00	0.1
9.156	5.77E+00	0.1
9.489	5.46E+00	0.1
9.821	5.15E+00	0.1
10.32	4.72E+00	0.1
10.65	4.42E+00	0.1
10.99	3.99E+00	0.1
11.32	3.62E+00	0.1
11.65	3.07E+00	0.1
