x	y	erry
43.95	0.107	0.001
44.45	0.107	0.001
44.95	0.107	0.001
45.45	0.106	0.001
45.94	0.104	0.001
46.44	0.104	0.001
46.94	0.103	0.001
47.44	0.103	0.001
47.94	0.102	0.001
48.44	0.102	0.001
48.94	0.101	0.001
49.44	0.1	0.001
49.94	9.97E-02	0.001
50.44	9.93E-02	0.001
50.94	9.88E-02	0.001
51.44	9.83E-02	0.001
51.94	9.73E-02	0.001
52.44	9.68E-02	0.001
52.94	9.68E-02	0.001
53.44	9.59E-02	0.001
53.93	9.54E-02	0.001
54.43	9.54E-02	0.001
54.93	9.34E-02	0.001
55.43	9.34E-02	0.001
55.93	9.20E-02	0.001
56.43	9.01E-02	0.001
56.93	9.15E-02	0.001
57.43	9.10E-02	0.001
57.93	9.10E-02	0.001
58.43	8.91E-02	0.001
58.93	8.86E-02	0.001
59.43	8.81E-02	0.001
59.93	8.81E-02	0.001
60.43	8.62E-02	0.001
60.93	8.52E-02	0.001
61.43	8.38E-02	0.001
61.93	8.43E-02	0.001
62.42	8.43E-02	0.001
62.92	8.14E-02	0.001
63.42	8.28E-02	0.001
63.92	8.18E-02	0.001
64.42	8.04E-02	0.001
64.92	8.04E-02	0.001
65.42	8.04E-02	0.001
65.92	7.99E-02	0.001
66.42	7.89E-02	0.001
66.92	7.85E-02	0.001
67.42	7.75E-02	0.001
67.92	7.65E-02	0.001
68.42	7.65E-02	0.001
68.92	7.65E-02	0.001
69.42	7.51E-02	0.001
69.92	7.46E-02	0.001
70.41	7.46E-02	0.001
70.91	7.26E-02	0.001
71.41	7.36E-02	0.001
71.91	7.22E-02	0.001
72.41	7.22E-02	0.001
72.91	7.07E-02	0.001
73.41	7.02E-02	0.001
73.91	6.88E-02	0.001
74.41	6.78E-02	0.001
74.91	6.88E-02	0.001
75.41	6.88E-02	0.001
75.91	6.78E-02	0.001
76.41	6.78E-02	0.001
76.91	6.59E-02	0.001
77.41	6.59E-02	0.001
77.91	6.44E-02	0.001
78.41	6.44E-02	0.001
78.9	6.35E-02	0.001
79.4	6.35E-02	0.001
79.9	6.20E-02	0.001
80.4	6.20E-02	0.001
80.9	6.10E-02	0.001
81.4	6.06E-02	0.001
81.9	5.96E-02	0.001
82.4	5.91E-02	0.001
82.9	5.72E-02	0.001
83.4	5.72E-02	0.001
83.9	5.72E-02	0.001
84.4	5.72E-02	0.001
84.9	5.72E-02	0.001
85.4	5.62E-02	0.001
85.9	5.47E-02	0.001
86.4	5.33E-02	0.001
86.9	5.33E-02	0.001
87.39	5.28E-02	0.001
87.89	5.23E-02	0.001
88.39	5.18E-02	0.001
88.89	5.14E-02	0.001
89.39	5.14E-02	0.001
89.89	4.94E-02	0.001
90.39	4.85E-02	0.001
90.89	4.85E-02	0.001
91.39	4.80E-02	0.001
91.89	4.70E-02	0.001
92.39	4.60E-02	0.001
92.89	4.51E-02	0.001
93.39	4.51E-02	0.001
93.89	4.36E-02	0.001
94.39	4.26E-02	0.001
94.89	4.17E-02	0.001
95.38	4.12E-02	0.001
95.88	3.97E-02	0.001
96.38	3.93E-02	0.001
97.38	3.73E-02	0.001
97.88	3.59E-02	0.001
98.38	3.44E-02	0.001
98.88	3.35E-02	0.001
99.38	3.20E-02	0.001
99.88	3.20E-02	0.001
100.4	3.06E-02	0.001
100.9	3.01E-02	0.001
101.4	2.81E-02	0.001
