x	y	erry
0	0.16	0.001
0.166	0.16	0.001
0.333	0.158	0.001
0.499	0.156	0.001
0.666	0.154	0.001
0.832	0.152	0.001
0.999	0.151	0.001
1.165	0.149	0.001
1.332	0.147	0.001
1.498	0.144	0.001
1.665	0.142	0.001
1.831	0.139	0.001
1.998	0.137	0.001
2.164	0.136	0.001
2.331	0.133	0.001
2.497	0.13	0.001
2.663	0.128	0.001
2.83	0.126	0.001
2.996	0.125	0.001
3.163	0.125	0.001
3.329	0.123	0.001
3.496	0.12	0.001
3.662	0.117	0.001
3.829	0.117	0.001
3.995	0.115	0.001
4.162	0.113	0.001
4.328	0.11	0.001
4.495	0.109	0.001
4.661	0.107	0.001
4.828	0.106	0.001
4.994	0.104	0.001
5.16	0.101	0.001
5.327	9.88E-02	0.001
5.493	9.88E-02	0.001
5.66	9.69E-02	0.001
5.826	9.57E-02	0.001
5.993	9.14E-02	0.001
6.159	9.08E-02	0.001
6.326	8.96E-02	0.001
6.492	8.83E-02	0.001
6.659	8.47E-02	0.001
6.825	8.28E-02	0.001
6.992	8.28E-02	0.001
7.158	8.10E-02	0.001
7.324	7.91E-02	0.001
7.491	7.67E-02	0.001
7.657	7.61E-02	0.001
7.824	7.42E-02	0.001
7.99	7.36E-02	0.001
8.157	6.87E-02	0.001
8.323	6.87E-02	0.001
8.49	6.81E-02	0.001
8.656	6.63E-02	0.001
8.823	6.56E-02	0.001
8.989	6.14E-02	0.001
9.156	6.07E-02	0.001
9.322	5.95E-02	0.001
9.489	5.71E-02	0.001
9.655	5.64E-02	0.001
9.822	5.58E-02	0.001
9.988	5.40E-02	0.001
10.15	5.22E-02	0.001
10.32	5.09E-02	0.001
10.49	4.85E-02	0.001
10.65	4.66E-02	0.001
10.82	4.66E-02	0.001
10.99	4.36E-02	0.001
11.15	4.17E-02	0.001
11.32	3.87E-02	0.001
11.49	3.80E-02	0.001
11.65	3.62E-02	0.001
11.82	3.37E-02	0.001
11.99	3.01E-02	0.001
12.15	2.64E-02	0.001
